,TICKER,SHORT_EMA,LONG_EMA,STATE,Cathegory
0,BBAR,17,121,1,All
1,BMA,17,121,3,None
2,SUPV,17,121,2,OverEMAWeekly
3,CEPU,17,121,3,None
4,CRESY,17,121,3,None
5,EDN,17,121,3,None
6,GGAL,17,121,2,OverEMAWeekly
7,IRS,17,121,3,None
8,IRCP,17,121,3,None
9,PAM,17,121,3,None
10,PBR,17,121,3,None
11,TEO,17,121,3,None
12,TS,17,121,3,None
13,TX,17,121,3,None
14,TGS,17,121,2,OverEMAWeekly
15,YPF,17,121,3,None
16,MELI,17,121,1,All
17,LOMA,17,121,3,None
18,^MERV,20,150,1,All
19,AGRO.BA,20,150,1,All
20,ALUA.BA,20,150,2,OverEMAWeekly
21,BYMA.BA,20,150,1,All
22,COME.BA,20,150,1,All
23,CVH.BA,20,150,1,All
24,DGCU2.BA,20,150,3,None
25,METR.BA,20,150,1,All
26,MIRG.BA,20,150,1,All
27,TGNO4.BA,20,150,2,OverEMAWeekly
28,TRAN.BA,20,150,3,None
29,VALO.BA,20,150,1,All
